"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Denmark (DK)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","France (FR)","1555.44"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Luxembourg (LU)","296.25"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Netherlands (NL)","1246.01"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Norway (NO)","1032.70"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Poland (PL)","1496.63"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Sweden (SE)","Germany (DE)","30.51"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Switzerland (CH)","3973.07"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","Germany (DE)","Austria (AT)","2984.29"
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","Germany (DE)","Belgium (BE)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","Belgium (BE)","Germany (DE)","110.17"
